species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
101144	0.000	0.000	0.002	0.002	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101014	0.000	0.000	0.001	0.001	0.001	0.001	0.002	0.002	0.001	0.001	0.003	0.003	0.001	0.001	0.006	0.006	0.000	0.000	0.000	0.000
100694	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100498	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101109	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100729	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100433	0.000	0.000	0.003	0.003	0.000	0.000	0.012	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100018	0.000	0.000	0.004	0.004	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100137	0.000	0.000	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101031	0.000	0.000	0.001	0.001	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101238	0.000	0.000	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
